"Title","Address","Decision","Decision Date"
"Minaya Supermarket Corp.","299 Myrtle Ave., Irvington, NY 10533","Permanent Disqualification","07/11/2017"
"Prince Food Market","705 Warwick Ave., Warwick, RI 02888","Permanent Disqualification","07/25/2017"
"Rochester Seafood Plus Inc.","335 Driving Park Ave., Rochester, NY 14613","Permanent Disqualification","07/17/2017"
"Saint Shenouda Inc.","818 Woodward Ave., Ridgewood, NY 11385","Permanent Disqualification","07/25/2017"
"Scriba Meats Inc.","5332 State Route 104, Oswego, NY 13126","Civil Money Penalty","07/18/2017"
"Sonora Meats Inc.","4135 W. 26th St., Chicago, IL 60623","Term Disqualification","07/20/2017"
"Winchester Delicatessen","23320 Hillside Ave., Queens Village, NY 11427","Permanent Disqualification","07/18/2017"
"Co Co Market","1037 Avenue C, Bayonne, NJ 07002","Permanent Disqualification","07/11/2017"
"Eastside Fish Fry & Grill","2417 E. Kalamazoo St., Lansing, MI 48912","Denial","07/19/2017"
"Gomez Food Corp.","73 Featherbed Lane, Bronx, NY 10452","Permanent Disqualification","07/27/2017"
"JB's South Inc. #1","1120 E. Wood St., Decatur, IL 62521","Permanent Disqualification","07/06/2017"
"Los Amigos Convenience Store","1332 S. Main St., High Point, NC 27260","Permanent Disqualification","07/28/2017"
"Los Compadres Grocery","401 61st St., Brooklyn, NY 11220","Permanent Disqualification","07/27/2017"
"Mama Fifi Grocery","595 Taylor Ave., Bronx, NY 10473","Permanent Disqualification","07/10/2017"
"Marketview Mini Mart & Deli","336 Scio St., Rochester, NY 14605","Permanent Disqualification","07/26/2017"
"Martinez Grocery","2863 N. 25th St., Philadelphia, PA 19132","Permanent Disqualification","07/11/2017"
"Matin Food Inc.","8-A Main St., Binghamton, NY 13905","Permanent Disqualification","07/12/2017"
"Medina Mini Market Inc.","804 W. Susquehanna Ave., Philadelphia, PA 19122","Permanent Disqualification","07/21/2017"
"Mr. Arnold's Goodie Bus","312 Garden Gate Lane, Annapolis, MD 21403","Denial","07/12/2017"
"Nicks Food Mart Inc.","1912 Carr Drive, Saint Louis, MO 63106","Permanent Disqualification","07/06/2017"
"One Stop Deli Grocery","215 N. Broad St., Elizabeth, NJ 07208","Permanent Disqualification","07/27/2017"
"Quality Quick 8","4625 Frederica St., Owensboro, KY 42301","Permanent Disqualification","07/13/2017"
"Southside Treats","2300 Milledgeville Road, Augusta, GA 30904","Denial","07/20/2017"
"Stevie’s Dari Mart","1230 Sheffield Ave., Aliquippa, PA 15001","Permanent Disqualification","07/19/2017"
"Thousand Flowers Asian Grocery Store LLC #1","7510 S. Anthony Blvd., Fort Wayne, IN 46816","Civil Money Penalty","07/26/2017"
"Tobacco Brew & Chew #1","5104 Murfreesboro Road, La Vergne, TN 37086","Denial","07/19/2017"
"Wicker Park Food Coop","1127 N. Oakley Ave., Chicago, IL 60647","Denial","07/31/2017"
"Cameron Seafood Market","6150 Woodland Ave., Philadelphia, PA 19142","Withdrawal","07/20/2017"
"Dos Marias","24963 Jesus Flores Road, Edcouch, TX 78538","Permanent Disqualification","07/24/2017"
"Elsa Mart #1","225 N. Paca St., Baltimore, MD 21201","Permanent Disqualification","07/12/2017"
"Fond Du Lac Supermarket","2709 N. 28th St., Milwaukee, WI 53210","Term Disqualification","07/17/2017"
"Gateway Sandwich LLC","37 Church St., New Haven, CT 06510","Permanent Disqualification","07/28/2017"
"M&B Food Store Inc. dba M&B Food Store","410 Second St., Catasauqua, PA 18032","","07/17/2017"
"MLK Grocery Plus","3665 Martin Luther King Jr. Drive SW ,     Suite A, Atlanta, GA 30331","Permanent Disqualification","07/05/2017"
"Superway Food Store","7640 Clarewood Drive, Houston, TX 77036","Permanent Disqualification","07/14/2017"
"A&A Market","123 Carmel St., New Haven, CT 06511","Term Disqualification","08/16/2017"
"Acambaro Meat Market","320 S. El Dorado St., Stockton, CA 95203","Term Disqualification","08/14/2017"
"AJK Convenient Store Inc.","6942 Market St., Upper Darby, PA 19082","Denial","08/11/2017"
"Circle H Food Mart","1084 Burnside Ave., East Hartford, CT 06108","Term Disqualification","08/29/2017"
"Cozy Corner Mart Inc.","2024 E. 93rd St., Chicago, IL 60617","Term Disqualification","08/10/2017"
"Dulceria La Bonita Wholesale LLC #4","6611 S. Central Ave., Phoenix, AZ 85042","Denial","08/15/2017"
"El Latino Market","2118 International Blvd., Oakland, CA 94606","Withdrawal","08/21/2017"
"Goin's Gas & Produce","2320 Princeton Ave., Bluefield, WV 24701","Withdrawal","08/08/2017"
"Highway Citgo","3919 78th Ave. N, Pinellas Park, FL 33781","Term Disqualification","08/11/2017"
"International Deli Grocery #1","348 N. Fifth St., Reading, PA 19601","Civil Money Penalty","08/21/2017"
"Jiffy Food","702 E. Elm Ave., Coalinga, CA 93210","Denial","08/03/2017"
"Limeberry","1537 Mount Hood Ave. ,     Suite 109, Woodburn, OR 97071","Denial","08/07/2017"
"Mini Convenience Store & Deli","178 Oakland St., Springfield, MA 01108","Permanent Disqualification","08/09/2017"
"One Stop","1218 Lakeview Drive, Rossville, GA 30741","Withdrawal","08/16/2017"
"Pine Hill Mini Mart","3811 Broad St., Pine Hill, AL 36769","Withdrawal","08/21/2017"
"Quality Seafood Market","309 E. Ehringhaus St., Elizabeth City, NC 27909","Withdrawal","08/07/2017"
"Quick Mart 4","1001 Highway 431 N, Anniston, AL 36206","Term Disqualification","08/21/2017"
"Riteway Market","661 W. Eastland St., Gallatin, TN 37066","Withdrawal","08/23/2017"
"Sister's Mini Market 3","407 E. Lincoln Highway, Coatesville, PA 19320","Term Disqualification","08/25/2017"
"Sunoco Mini Mart","2403 W. Second St., Marion, IN 46952","Permanent Disqualification","08/24/2017"
"Twins Food Outlet & More","2001 Yosemite Blvd., Modesto, CA 95354","Denial","08/09/2017"
"Yellow Deli","121 Susquehanna St., Binghamton, NY 13901","Permanent Disqualification","08/08/2017"
"3rd St Chevron/Armehr Corp.","3817 W. Third St., Los Angeles, CA 90020","Term Disqualification","08/02/2017"
"A&H Merkato","2131 Murfreesboro Pike, Nashville, TN 37217","Permanent Disqualification","08/15/2017"
"Aaron Inc.","6705 18th Ave., Brooklyn, NY 11204","Permanent Disqualification","08/25/2017"
"African International Grocery Store","647-A Congress St., Portland, ME 04101","Permanent Disqualification","08/01/2017"
"Cambridge Market","3510 Cambridge St., Las Vegas, NV 89169","Permanent Disqualification","08/24/2017"
"Cedar Corner Store","1401 Cedar Ave., Austin, TX 78702","Permanent Disqualification","08/08/2017"
"Dean Groceries","1175 Frances Dean Drive, Elberton, GA 30635","Withdrawal","08/15/2017"
"H&O LLC","215 Ecorse Road, Ypsilanti, MI 48198","Denial","08/24/2017"
"Howard City Liquor","214 Ensley St., Howard City, MI 49329","Denial","08/11/2017"
"JS Mart","516 W. English Road, High Point, NC 27262","Permanent Disqualification","08/17/2017"
"Loving Life Health Food","15224 W. Seven Mile Road, Detroit, MI 48235","Withdrawal","08/10/2017"
"Makolet Yerushalim Inc.","727 Avenue, Brooklyn, NY 11223","Permanent Disqualification","08/21/2017"
"Matanzas Discount Inc.","1876 SW Eighth St., Miami, FL 33135","Withdrawal","08/23/2017"
"Namaste Bazaar LLC","115 N. 40th St., Omaha, NE 68131","Term Disqualification","08/01/2017"
"Nimely Shopping Center","3011 E. Tenth St., Sioux Falls, SD 57103","Withdrawal","08/16/2017"
"Perry Food","9660 Fallbrook Drive,     Suite A, Houston, TX 77064","Permanent Disqualification","08/25/2017"
"Quick Stop Food Mart","889 Carew St., Springfield, MA 01104","Permanent Disqualification","08/28/2017"
"Rex Road BP","2684 Rex Road, Ellenwood, GA 30294","Term Disqualification","08/03/2017"
"Rocky Deli Grocery Inc.","590 Broadway, Brooklyn, NY 11206","Term Disqualification","08/11/2017"
"Rodolfo Mini Market & Party Supply","2013 W. Jefferson Blvd., Los Angeles, CA 90018","Permanent Disqualification","08/28/2017"
"Sam's Mini Mart","711 Gordon Drive, Sioux City, IA 51101","Withdrawal","08/03/2017"
"Shila Inc.","2208 N. Broad St., Philadelphia, PA 19132","Permanent Disqualification","08/28/2017"
"7-Twelve Convenience Store","812 Guilford Ave., Baltimore, MD 21202","Permanent Disqualification","08/16/2017"
"A&M Deli Express Inc.","112-31 Farmers Blvd., St Albans, NY 11412","Permanent Disqualification","08/23/2017"
"A Food Mart Inc.","7254 Amboy Road, Staten Island, NY 10307","Term Disqualification","08/08/2017"
"Al Fatah","260 Lisbon St., Lewiston, ME 04240","Permanent Disqualification","08/18/2017"
"Bert's","151 Nellie B Ave., Athens, GA 30601","Permanent Disqualification","08/31/2017"
"Cammy Express","1397 Celanese Road, Rock Hill, SC 29732","Withdrawal","08/03/2017"
"Chabbad Israeli Center","1622 NE 205th Terrace, Miami, FL 33179","Permanent Disqualification","08/02/2017"
"EZ Mart","811 W. Main St., Millville, NJ 08332","Denial","08/08/2017"
"Guerrero Deli Grocery Corp.","2334 Washington Ave., Bronx, NY 10458","Civil Money Penalty","08/03/2017"
"Paty's Store","617 E. Main St., San Jacinto, CA 92583","Term Disqualification","08/17/2017"
"Super Food Store","301 Jackson St. ,     Suite 6, Hoboken, NJ 07030","Term Disqualification","08/23/2017"
"Bryanna Deli Grocery Corp.","8220 31st Ave., East Elmhurst, NY 11370","Permanent Disqualification","08/28/2017"
"Don Marto Mini Market Corp.","2143 Amsterdam Ave., New York, NY 10032","Permanent Disqualification","08/16/2017"
"Family Store & More","2340 W. Thomas Road, Phoenix, AZ 85015","Permanent Disqualification","08/09/2017"
"Felix Rosario Grocery LLC","314 Second St., Elizabethport, NJ 07206","Permanent Disqualification","08/08/2017"
"Kwik Stop","6320 Windsor Mill Road, Gwynn Oak, MD 21207","Permanent Disqualification","08/16/2017"
"New Downtown Cafe & Mini Market","241 E. Seventh St., Los Angeles, CA 90014","Permanent Disqualification","08/09/2017"
"Patron De Inspiracion Inc.","835 E. 152nd St., Bronx, NY 10455","Permanent Disqualification","08/25/2017"
"Purvi & Riya Inc. t/a Convenient","501 S. Broad St., Philadelphia, PA 19147","Permanent Disqualification","08/30/2017"
"Sports One Stop","13753 Highway 84, Silas, AL 36919","Permanent Disqualification","08/24/2017"
"5 De Mayo Food Market Corp.","8106 Roosevelt Ave., Jackson Heights, NY 11372","Term Disqualification","08/29/2017"
"99 Cent + Discount Store","68420 Ramon Road ,     Suite 2, Cathedral City, CA 92234","Permanent Disqualification","08/31/2017"
"Aziz Station","3416 W. Pierson Road, Flint, MI 48504","Permanent Disqualification","08/21/2017"
"BBG Grocery","185 Martin Luther King Jr. Drive, Jersey City, NJ 07305","Permanent Disqualification","08/02/2017"
"Beechnut Food Store","12306 Beechnut St., Houston, TX 77072","Permanent Disqualification","08/01/2017"
"Bino's Mini Mart","173 1/2 West St., Bristol, CT 06010","Permanent Disqualification","08/22/2017"
"Bricktown Plaza Food Mart","900 W. Reno Ave., Oklahoma City, OK 73106","Permanent Disqualification","08/28/2017"
"Cherry Street Grocery","47284 N. Cherry St., Hammond, LA 70401","Permanent Disqualification","08/03/2017"
"Eustis Food Mart","2137 E. Orange Ave.,     Suite A, Eustis, FL 32726","Permanent Disqualification","08/04/2017"
"Happy Shopper/Niraj Inc.","1255 N. King St., Hampton, VA 23669","Term Disqualification","08/29/2017"
"Henry's Multi Services LLC","2040 Collier Ave.,     Suite D, Fort Myers, FL 33901","Permanent Disqualification","08/10/2017"
"Hugo Hitching Post","6411 Hugo Road, Grants Pass, OR 97526","Permanent Disqualification","08/09/2017"
"Mary Mena 905 LLC","905 S. Spring Garden Ave., Deland, FL 32720","Permanent Disqualification","08/04/2017"
"Quick Stop Market Inc.","528 Nassau Road, Roosevelt, NY 11575","Permanent Disqualification","08/09/2017"
"Rainbow Convenient Shop Inc.","86-24 Roosevelt Ave., Jackson Heights, NY 11372","Permanent Disqualification","08/16/2017"
"Raliegh Stop Mart","4635 Raleigh Lagrange Road, Memphis, TN 38128","Term Disqualification","08/14/2017"
"Safi Market","1518 Mifflin St., Homestead, PA 15120","Permanent Disqualification","08/17/2017"
"Sharon Hill Deli","539 Chester Pike, Sharon Hill, PA 19079","Permanent Disqualification","08/02/2017"
"Shiloh Convenience Store","1111 Roper Drive, Scott, LA 70583","Permanent Disqualification","08/07/2017"
"Shortys Food Mart #2","3501 W. Broadway, Louisville, KY 40211","Term Disqualification","08/11/2017"
"South Island Food Mart","3927 Broadway St., Galveston, TX 77550","Term Disqualification","08/09/2017"
"Dew Drop In","324 Chatham St., Oglethorpe, GA 31068","Withdrawal","09/19/2017"
"East Food Mart","2740 Sandy Lane, Fort Worth, TX 76112","Civil Money Penalty","09/07/2017"
"Farmer's Fresh Meat Mart Inc. #1","457 E. 79th St., Chicago, IL 60619","Term Disqualification","09/22/2017"
"Figaro's Pizza Of Phoenix #2","315 N. Main St.,     Suite B, Phoenix, OR 97535","Denial","09/26/2017"
"Gage Park Food","2801 W. 59th St., Chicago, IL 60629","Term Disqualification","09/22/2017"
"Greenfield Pantry","1110 W. Greenfield Ave., Milwaukee, WI 53204","Denial","09/06/2017"
"Jazeera Market","625 Forest Ave., Portland, ME 04101","Term Disqualification","09/08/2017"
"Kda Mini Mart Inc.","711 Manhattan Ave., Brooklyn, NY 11222","Term Disqualification","09/11/2017"
"LB Market","1412 West Ave., Elyria, OH 44035","Denial","09/29/2017"
"Lillys Produce & Products","9006 Compton Ave., Los Angeles, CA 90002","Permanent Disqualification","09/12/2017"
"Mcrae Store","4888 Highway 367 S, McRae, AR 72102","Denial","09/18/2017"
"Nation Ams Food Inc. dba Krispy Krunchy Chicken","3263 Donald Lee Hollowell Parkway NW, Atlanta, GA 30331","Denial","09/05/2017"
"Pakam Inc.","311 W. Daniel Boone Parkway, London, KY 40741","Term Disqualification","09/07/2017"
"Rolen’s Bakery","1628 Montgomery Highway, Dothan, AL 36303","Withdrawal","09/27/2017"
"Silk City Discount Store","81 Wayne Ave., Paterson, NJ 07522","Withdrawal","09/27/2017"
"Subway Deli Corp.","1717 Broadway, Brooklyn, NY 11207","Term Disqualification","09/13/2017"
"Sunshine Market","56 Washington St., Lynn, MA 01902","Withdrawal","09/21/2017"
"Union Mart LLC","529 Union St., West Springfield, MA 01089","Denial","09/14/2017"
"Wallace Market","2000 Wallace St., Philadelphia, PA 19130","Civil Money Penalty","09/21/2017"
"Welcome Convenience Grocery Corp.","1196 Gerard Ave., Bronx, NY 10452","Withdrawal","09/14/2017"
"1st St Supermarket","400 First St. S, Birmingham, AL 35205","Permanent Disqualification","09/27/2017"
"1668 Zerega Deli & Grocery LLC","1668 Zerega Ave., Bronx, NY 10462","Permanent Disqualification","09/13/2017"
"Adams Street Market","4 Adams St., Holyoke, MA 01040","Permanent Disqualification","09/21/2017"
"Broad Street Cash & Carry aka Avico Distributing Inc.","729 Broad St., Utica, NY 13501","Term Disqualification","09/15/2017"
"Carniceria Coalcoman Gc","1415 Maple Ave., Santa Rosa, CA 95404","Denial","09/13/2017"
"Cheema Main Street Inc. #2","1536 W. Broad St., Columbus, OH 43222","Civil Money Penalty","09/27/2017"
"Commercial Express","3605 Commercial Ave., San Antonio, TX 78221","Permanent Disqualification","09/20/2017"
"Family Foods of Lewiston","121 S. Main St., Lewiston, NC 27849","Civil Money Penalty","09/25/2017"
"Four Bells Market","1065 98th Ave., Oakland, CA 94603","Permanent Disqualification","09/20/2017"
"H&R Convenience Inc.","2327 30th Ave., Astoria, NY 11102","Denial","09/19/2017"
"Hamdan Market","207 N. Geddes St., Syracuse, NY 13204","Permanent Disqualification","09/21/2017"
"Ice Screams","605 Second St., Pitcairn, PA 15140","Permanent Disqualification","09/14/2017"
"Kuttanadu Foods","8923 Krewstown Road, Philadelphia, PA 19115","Term Disqualification","09/21/2017"
"Morenaje Deli Cafe","316 48th St., Uniion City, NJ 07087","Permanent Disqualification","09/12/2017"
"Myanmar Food Mart","887 N. Indian Creek Drive,     Suite C, Clarkston, GA 30021","Permanent Disqualification","09/27/2017"
"Olivo Grocery Inc.","4982 W. Thompson St., Philadelphia, PA 19131","Civil Money Penalty","09/28/2017"
"Shell Food Mart","15287 State Route 111, Spencer, TN 38585","Permanent Disqualification","09/18/2017"
"Shellpro Food Mart","850 Maple Ave., Hartford, CT 06114","Denial","09/20/2017"
"The New Brothers Grocery Inc.","6125 Fifth Ave., Brooklyn, NY 11220","Permanent Disqualification","09/20/2017"
"Vicki’s Cold Cuts","1033 Saville Ave., Eddystone, PA 19022","Withdrawal","09/12/2017"
"Jim’s Meats","2329 E. Clearfield St., Philadelphia, PA 19134","Term Disqualification","09/22/2017"
"24 Hr Mini Mart Inc.","3835 Richmond Ave., Staten Island, NY 10312","Permanent Disqualification","09/22/2017"
"AA & A Deli Mart Inc.","807 Albany St., Schenectady, NY 12307","Permanent Disqualification","09/06/2017"
"Brothers Food Mart Inc.","1327 N. Homan Ave., Chicago, IL 60651","Permanent Disqualification","09/05/2017"
"D&C Deli & Grocery","2049 S. 19th St., Philadelphia, PA 19145","Permanent Disqualification","09/30/2017"
"Dales Liquor Market dba Karamjot Corp.","14900 Victory Blvd., Van Nuys, CA 91411","Permanent Disqualification","09/26/2017"
"Dyer Mart & Deli","500 Dyer Ave., Cranston, RI 02920","Permanent Disqualification","09/19/2017"
"Famous International Market","6919 Castor Ave., Philadelphia, PA 19149","Permanent Disqualification","09/25/2017"
"Fateh Inc.","1811 Franklin St., Michigan City, IN 46360","","09/11/2017"
"G&G Deli Grocery","648 E. Chestnut St., Lancaster, PA 17602","Permanent Disqualification","09/08/2017"
"Jim's Quick Stop","922 Pennsylvania Ave., Savannah, GA 31404","Permanent Disqualification","09/22/2017"
"Juba Halal Store","337 Lisbon St., Lewiston, ME 04240","Permanent Disqualification","09/27/2017"
"Lucky Seven Food Store #18","4198 Union Ave., Bakersfield, CA 93305","Permanent Disqualification","09/11/2017"
"Messer Market","830 Tennessee Ave., Pineville, KY 40977","Permanent Disqualification","09/01/2017"
"Mobile Highway Store","3065 Mobile Highway, Montgomery, AL 36108","Permanent Disqualification","09/19/2017"
"New York Grocery & Deli LLC","649 N. New York Ave., Atlantic City, NJ 08401","Permanent Disqualification","09/08/2017"
"Quickshop","939 US Highway 52 S, Wadesboro, NC 28170","Permanent Disqualification","09/11/2017"
"SK Mini Mart","110 Main St., Binghamton, NY 13905","Permanent Disqualification","09/07/2017"
"Stop & Go Grocery","1670 W. North Ave., Baltimore, MD 21217","Permanent Disqualification","09/28/2017"
"Vanram Asian Grocery #1","1345 W. Southport Road,     Suite 7, Indianapolis, IN 46217","Permanent Disqualification","09/25/2017"
"BK Food Mart","196 Peachtree St. SW ,     Suite 105, Atlanta, GA 30303","Permanent Disqualification","09/06/2017"
"Brando","8117 N. Division St. ,     Suite G, Spokane, WA 99208","Denial","09/18/2017"
"Broadway Super Market","108 S. Broadway, Baltimore, MD 21231","Civil Money Penalty","09/25/2017"
"Dayton Market","602 Dayton Ave., Dayton, KY 41074","Term Disqualification","09/08/2017"
"Fillco","977 Main St., Brawley, CA 92227","Term Disqualification","09/29/2017"
"Fresh Mini Market","1951 W. Ritner St., Philadelphia, PA 19145","Term Disqualification","09/07/2017"
"Hanan LLC","427 S. Main St., Middletown, CT 06457","Permanent Disqualification","09/15/2017"
"JC's Hammon","507 N. 11th St., Hammon, OK 73650","","09/11/2017"
"La Canasta Latina Corp.","27 NW 13th Ave., Miami, FL 33125","Term Disqualification","09/20/2017"
"M&B Minit Mart","2307 Oakdale Road ,     Suite 201, Modesto, CA 95355","Civil Money Penalty","09/07/2017"
"Mehrab Super Market","2433 W. Devon Ave., Chicago, IL 60659","Permanent Disqualification","09/25/2017"
"Mountain View Market","3297 NC Highway 127 S, Hickory, NC 28602","Denial","09/25/2017"
"Riverside Food Mart","431 W. Main St., Pomeroy, OH 45769","Term Disqualification","09/08/2017"
"S&S Baseline Inc.","799 W. Base Line St., San Bernardino, CA 92410","Term Disqualification","09/28/2017"
"Sam's Liquor","212 W. Holt Blvd., Ontario, CA 91762","Term Disqualification","09/07/2017"
"Southern Variety #3","1506 Highland Drive, Amory, MS 38821","Term Disqualification","09/30/2017"
"St. Pete Food Mart dba Rajani Fuels Inc.","6162 Dr. Martin Luther King Jr. St. N, Saint Petersburg, FL 33703","Term Disqualification","09/27/2017"
"Sunny's Food Mart","9303 Fondren Road, Houston, TX 77074","Permanent Disqualification","09/18/2017"
"Tower Convenience Store","10 Chestnut St., Springfield, MA 01103","Permanent Disqualification","09/08/2017"
"Yoselin Grocery Corp.","1183 Pugsley Ave., Bronx, NY 10472","Permanent Disqualification","09/20/2017"
"125 W 165th St. Grocery Corp.","125 W. 165th St., Bronx, NY 10452","Permanent Disqualification","10/20/2017"
"375 Grand Avenue LLC","375 Grand Ave., New Haven, CT 06513","Permanent Disqualification","10/23/2017"
"636 Royston","636 Church St., Royston, GA 30662","Civil Money Penalty","10/12/2017"
"648 Corner Store LLC","648 S. Yellow Springs St., Springfield, OH 45506","Term Disqualification","10/16/2017"
"A&K Supermarket","13321 W. Dixie Highway, North Miami, FL 33161","Permanent Disqualification","10/10/2017"
"Aihua Dong dba C&F Convenience Store","514 N. 10th St., Philadelphia, PA 19123","Permanent Disqualification","10/17/2017"
"Ajay Beri Corp. dba Subway #42059","315 N. Puente St.,     Suite H, Brea, CA 92821","Withdrawal","10/13/2017"
"Ali's One Stop Mini Mart","801 S. Fair Ave. ,     Suite 100, Yakima, WA 98901","Denial","10/25/2017"
"Central Express Deli & Grocery Corp.","372 Central Ave., Brooklyn, NY 11221","Civil Money Penalty","10/13/2017"
"Discount Zone","507 Azalea Road, Mobile, AL 36609","Term Disqualification","10/25/2017"
"Fast Trip","805 Damascus Road, Enterprise, AL 36330","Term Disqualification","10/19/2017"
"Harvest Drive Thru","4017 N. Bend Road, Cincinnati, OH 45211","Denial","10/24/2017"
"M&M Food Mart","323 Butler Road, New Market, AL 35761","Withdrawal","10/23/2017"
"Patapsco Mart","439 E. Patapsco Ave., Baltimore, MD 21225","Civil Money Penalty","10/24/2017"
"Rodriguez Family Grocery & Deli","802 E. Fifth St., Bethlehem, PA 18015","Denial","10/26/2017"
"Shamrat Group Inc.","89-97 Avenue C, New York, NY 10009","Term Disqualification","10/05/2017"
"Stoltzfus Bar-b-que","1362 Naamans Creek Road ,     Suite 2, Garnet Valley, PA 19060","Withdrawal","10/25/2017"
"Subway # 43706","315 N. Puente St. ,     Suite H, Brea, CA 92821","Withdrawal","10/13/2017"
"Sweet-nes Enterprise Inc.","5414 New Utrecht Ave., Brooklyn, NY 11219","Withdrawal","10/17/2017"
"Taylor Ave Citgo","900 Taylor Ave., Towson, MD 21286","Withdrawal","10/24/2017"
"Ariana Deli & Grocery Inc.","1634 Eastern Parkway, Brooklyn, NY 11233","Term Disqualification","10/23/2017"
"DDD Deli Grocery Corp.","2260 Washington Ave., Bronx, NY 10457","Term Disqualification","10/30/2017"
"Flashpoint Convenience #1 (aka WNN Inc.)","2 Crain Highway N, Glen Burnie, MD 21061","Term Disqualification","10/25/2017"
"Greenwich Food Market","1231 Greenwich St., Reading, PA 19604","Permanent Disqualification","10/13/2017"
"Hadja Express","305 E. 166th St., Bronx, NY 10456","Permanent Disqualification","10/24/2017"
"In & Out Convenience Inc. dba In & Out Convenience #1","6024 N. 23rd Ave., Phoenix, AZ 85015","Denial","10/16/2017"
"Island Market","7904 West Drive ,     Unit 8, North Bay Village, FL 33141","Permanent Disqualification","10/25/2017"
"Jasons Market Inc.","50 Third St., Crowder, MS 38622","Permanent Disqualification","10/12/2017"
"Kendall’s Kountry Meat Market","1224 E. Sanger St., Hobbs, NM 88240","Term Disqualification","10/24/2017"
"La Familia Market dba Asofy Inc.","608 Crouch St., Oceanside, CA 92054","Permanent Disqualification","10/31/2017"
"Lorena’s Food Market","1310 S. Cicero Ave., Cicero, IL 60804","Permanent Disqualification","10/30/2017"
"M&P Grocery & Deli LLC","908 Somerset St., New Brunswick, NJ 08901","Term Disqualification","10/12/2017"
"Magic Grocery Corp.","301 Church Ave., Brooklyn, NY 11218","Permanent Disqualification","10/10/2017"
"Meez Food Mart","10020 Royal Lane, Dallas, TX 75238","Withdrawal","10/30/2017"
"New Liberty 99 Cents","1111 Liberty Ave., Brooklyn, NY 11208","Denial","10/23/2017"
"New York Deli","255 Main St., Bristol, CT 06010","Permanent Disqualification","10/26/2017"
"Q Superette K","3519 W. Colfax Ave., Denver, CO 80204","Permanent Disqualification","10/17/2017"
"SP Food Mart Inc.","400 Third St., Kentwood, LA 70444","Permanent Disqualification","10/24/2017"
"Six K Carry Out & Food Mart","835 E. Patapsco Ave., Brooklyn, MD 21225","Permanent Disqualification","10/20/2017"
"Villa Tapia Grocery Corp.","367 S. Fourth St., Brooklyn, NY 11211","Permanent Disqualification","10/18/2017"
"West Farms Convenience #1","2012 Boston Road, Bronx, NY 10460","Term Disqualification","10/30/2017"
"Apple Mini Market LLC","286 Main Ave., Passaic, NJ 07055","Term Disqualification","10/12/2017"
"Beach Party Liquor","220 N. Beacon Blvd., Grand Haven, MI 49417","Withdrawal","10/30/2017"
"Bread & Butter Deli & Grill","4802 Broadway, Astoria, NY 11103","Term Disqualification","10/23/2017"
"Chinatown Liquors Inc.","100 N. Beretania St. ,     # 129-32, Honolulu, HI 96817","Civil Money Penalty","10/31/2017"
"Dollar Central #1","3117 E. Seminary Drive, Fort Worth, TX 76119","Denial","10/04/2017"
"Dollar Deals & Up","2057 N. Pulaski Road, Chicago, IL 60639","Withdrawal","10/25/2017"
"Dollar Link Corp.","610 Central Ave., East Orange, NJ 07018","Permanent Disqualification","10/12/2017"
"DUAA Inc.","2490 Harrison St., Gary, IN 46407","Permanent Disqualification","10/10/2017"
"El Azteca Deli-Grocery Corp.","383 S. Broadway, Yonkers, NY 10705","Permanent Disqualification","10/23/2017"
"Gris Market","3 Second St., Framingham, MA 01702","Permanent Disqualification","10/17/2017"
"Guajaca Mini Market Corp.","724 Springfield Ave., Irvington, NJ 07111","Permanent Disqualification","10/30/2017"
"Harry & Bob’s Deli","527 W. Butler St., Philadelphia, PA 19140","Term Disqualification","10/31/2017"
"Joe's Food Market II","1900 E. Passyunk Ave., Philadelphia, PA 19148","Permanent Disqualification","10/11/2017"
"Jose Lake Store & Resort","7065 Jose Lake Road, South Branch, MI 48761","Civil Money Penalty","10/18/2017"
"Long Chang Market","6241 Franklin Blvd., Sacramento, CA 95824","Term Disqualification","10/16/2017"
"M&N USA Grocery Inc.","1820 Church Ave., Brooklyn, NY 11226","Permanent Disqualification","10/18/2017"
"Miami Food Emprium","12250 NW Seventh Ave., North Miami, FL 33168","Permanent Disqualification","10/04/2017"
"Mohammed Market","1135 W. Ninth St., Chester, PA 19013","Permanent Disqualification","10/10/2017"
"Moy Supermarket LLC","1325 E. Second St., Plainfield, NJ 07062","Civil Money Penalty","10/05/2017"
"Super B Express","410 W. Crawford St., Colquitt, GA 39837","Withdrawal","10/13/2017"
"Super Dairy Mill","13720 Crossbay Blvd., Ozone Park, NY 11417","Term Disqualification","10/02/2017"
"Thompson Lane Market","1004 E. Thompson Lane,     Suite B, Nashville, TN 37211","Denial","10/02/2017"
"Very Good 99 Cent Discount Inc.","1147 Boston Road, Bronx, NY 10456","Denial","10/18/2017"
"Aramingo Crab House","2313-3 E. Venango St., Philadelphia, PA 19134","Withdrawal","03/28/2018"
"Bravo Bargain","10835 Oxnard St., North Hollywood, CA 91606","Term Disqualification","03/29/2018"
"El Rey 1","7600 National Turnpike, Louisville, KY 40214","Term Disqualification","03/26/2018"
"Mondonguito Grocery Store","219 Dudley St., Roxbury, MA 02119","Permanent Disqualification","03/30/2018"
"Southern Crab House","468 S. Main St., Statesboro, GA 30458","Withdrawal","03/12/2018"
"Super Tienda Latina","10423 S. Normandie Ave., Los Angeles, CA 90044","Permanent Disqualification","03/02/2018"
